MyUnknownColumn,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
115,0,10.0,Mobile,1,6.0,CC,Female,3.0,3,Mobile,3,Married,8,0,14.0,0.0,1.0,2.0,122.32
1650,0,9.0,Computer,1,30.0,DC,Female,2.0,3,Laptop,4,Married,8,0,15.0,1.0,1.0,8.0,156.74
4830,0,1.0,Mobile,1,11.0,DC,Female,4.0,4,Mobile,3,Single,3,0,20.0,1.0,2.0,1.0,148.18
2242,0,30.0,Mobile,3,9.0,DC,Female,2.0,4,Laptop,1,Single,6,0,17.0,0.0,1.0,5.0,151.71
2055,0,6.0,Computer,3,23.0,DC,Male,2.0,3,Grocery,3,Single,2,0,11.0,1.0,6.0,0.0,274.44
4310,0,14.0,Computer,1,33.0,CC,Female,3.0,4,Laptop,4,Married,3,0,12.0,1.0,3.0,14.0,181.05
2598,0,6.0,Computer,3,8.0,E wallet,Female,3.0,3,Laptop,4,Single,9,0,15.0,1.0,1.0,7.0,151.47
2913,0,12.0,Mobile,3,10.0,DC,Male,4.0,4,Fashion,3,Married,2,0,13.0,2.0,6.0,3.0,231.08999999999997
1590,0,4.0,Computer,1,9.0,CC,Male,3.0,3,Fashion,3,Married,10,0,12.0,2.0,2.0,2.0,236.75
1514,0,5.0,Mobile,1,12.0,DC,Male,3.0,3,Mobile,3,Single,4,0,20.0,0.0,1.0,4.0,130.38
1491,0,3.0,Mobile,1,8.0,CC,Male,3.0,4,Mobile,1,Single,1,0,13.0,0.0,1.0,2.0,127.19999999999999
1681,1,10.0,Mobile,1,14.0,UPI,Male,3.0,5,Mobile,5,Married,2,1,11.0,0.0,1.0,7.0,121.19
3434,1,1.0,Mobile,1,18.0,CC,Female,4.0,6,Laptop,4,Divorced,7,0,16.0,2.0,2.0,1.0,172.77
4455,0,16.0,Computer,3,33.0,E wallet,Female,4.0,4,Grocery,4,Married,7,0,15.0,4.0,2.0,9.0,260.25
1841,0,0.0,Mobile,3,28.0,COD,Male,2.0,3,Mobile,3,Single,2,0,11.0,0.0,1.0,2.0,134.47
2904,1,1.0,Mobile,1,10.0,COD,Female,3.0,4,Mobile,5,Single,7,1,12.0,2.0,2.0,5.0,151.57
3649,0,14.0,Mobile,1,9.0,DC,Male,4.0,4,Laptop,2,Single,3,0,14.0,4.0,9.0,9.0,171.61
5373,1,1.0,Mobile,3,14.0,DC,Male,4.0,4,Mobile,1,Married,3,1,22.0,2.0,2.0,3.0,147.75
3409,0,21.0,Mobile,3,11.0,DC,Female,3.0,4,Laptop,2,Single,3,1,18.0,2.0,2.0,8.0,166.63
2777,0,10.0,Mobile,1,16.0,DC,Female,2.0,1,Fashion,1,Married,2,1,25.0,5.0,2.0,8.0,237.44
2688,0,10.0,Mobile,1,13.0,DC,Male,2.0,3,Mobile,5,Single,4,0,14.0,0.0,1.0,2.0,120.62
2859,0,6.0,Mobile,1,13.0,DC,Male,3.0,4,Mobile,3,Single,5,0,21.0,1.0,2.0,5.0,155.38
1611,0,4.0,Mobile,1,29.0,CC,Male,3.0,4,Laptop,1,Married,1,0,21.0,0.0,7.0,8.0,155.82
1195,0,15.0,Computer,1,16.0,COD,Male,3.0,3,Mobile,3,Married,4,0,22.0,1.0,3.0,3.0,129.36
1544,0,11.0,Mobile,1,35.0,COD,Male,2.0,3,Laptop,1,Married,4,0,18.0,0.0,1.0,7.0,162.61
2042,0,10.0,Computer,3,26.0,COD,Female,2.0,3,Mobile,1,Married,2,0,15.0,0.0,1.0,2.0,121.57
1361,0,5.0,Mobile,1,11.0,DC,Male,3.0,1,Mobile,4,Married,1,1,12.0,1.0,1.0,5.0,132.98
1207,1,0.0,Computer,1,16.0,DC,Male,3.0,4,Mobile,1,Single,2,1,24.0,1.0,1.0,0.0,124.38999999999999
2446,0,5.0,Mobile,1,11.0,DC,Female,3.0,4,Laptop,4,Married,4,0,12.0,1.0,2.0,5.0,158.78
1089,0,17.0,Mobile,1,8.0,DC,Female,3.0,1,Fashion,1,Married,2,1,19.0,6.0,6.0,7.0,178.79
4616,0,5.0,Mobile,3,14.0,DC,Male,3.0,5,Fashion,1,Married,11,0,22.0,2.0,2.0,2.0,240.57
4201,0,1.0,Mobile,1,9.0,DC,Female,3.0,4,Mobile,5,Married,3,0,14.0,2.0,2.0,1.0,148.41
121,0,6.0,Mobile,1,11.0,DC,Female,3.0,4,Mobile,2,Divorced,2,0,13.0,0.0,1.0,2.0,129.11
1516,1,0.0,Computer,3,16.0,COD,Female,3.0,5,Mobile,5,Single,1,0,21.0,1.0,1.0,0.0,123.25
3348,0,18.0,Mobile,1,16.0,DC,Male,4.0,4,Mobile,5,Divorced,3,1,14.0,3.0,8.0,2.0,150.59
4953,0,2.0,Mobile,1,22.0,DC,Male,3.0,4,Mobile,3,Married,3,0,17.0,1.0,3.0,3.0,147.07
3189,0,7.0,Mobile,3,15.0,E wallet,Male,3.0,4,Laptop,3,Married,2,0,13.0,2.0,2.0,3.0,196.04
4604,0,22.0,Mobile,3,9.0,E wallet,Female,3.0,4,Laptop,1,Married,4,0,15.0,7.0,7.0,8.0,165.51
3282,0,21.0,Mobile,1,9.0,UPI,Female,3.0,4,Grocery,2,Divorced,3,1,16.0,4.0,4.0,1.0,292.52
3786,0,14.0,Mobile,2,13.0,CC,Male,3.0,4,Grocery,1,Single,3,1,22.0,1.0,8.0,8.0,289.37
2423,0,17.0,Mobile,1,34.0,DC,Male,2.0,3,Grocery,5,Married,4,0,13.0,1.0,14.0,17.0,263.28
4299,0,4.0,Mobile,2,16.0,UPI,Male,3.0,4,Laptop,1,Married,2,1,20.0,5.0,5.0,8.0,188.47
4136,0,8.0,Mobile,3,35.0,E wallet,Female,4.0,5,Laptop,3,Married,3,0,22.0,2.0,2.0,8.0,192.12
4712,0,30.0,Mobile,1,16.0,CC,Male,3.0,4,Grocery,1,Married,9,0,12.0,1.0,2.0,2.0,236.02999999999997
4126,0,1.0,Mobile,3,12.0,CC,Male,3.0,4,Mobile,5,Single,3,1,12.0,2.0,2.0,3.0,148.8
4049,0,8.0,Mobile,3,10.0,CC,Female,4.0,5,Laptop,1,Married,5,1,13.0,1.0,2.0,2.0,206.03
4234,0,10.0,Mobile,1,13.0,DC,Female,3.0,2,Mobile,1,Married,5,0,13.0,1.0,2.0,1.0,155.38
1348,0,6.0,Computer,1,9.0,DC,Female,3.0,3,Mobile,3,Married,2,1,11.0,2.0,3.0,0.0,129.09
2651,0,4.0,Computer,3,13.0,E wallet,Female,3.0,3,Fashion,5,Married,3,0,14.0,2.0,2.0,2.0,196.37
13,1,0.0,Mobile,1,15.0,CC,Male,3.0,4,Mobile,3,Divorced,1,1,17.0,0.0,1.0,0.0,133.88
2282,0,12.0,Mobile,1,19.0,CC,Female,3.0,4,Grocery,4,Married,7,1,13.0,1.0,15.0,2.0,271.23
2716,0,29.0,Mobile,3,17.0,E wallet,Female,2.0,4,Laptop,5,Married,5,0,16.0,0.0,1.0,0.0,153.8
2113,0,13.0,Mobile,3,32.0,E wallet,Male,3.0,3,Laptop,5,Married,2,0,14.0,3.0,7.0,5.0,183.96
5393,0,4.0,Mobile,1,23.0,DC,Male,3.0,4,Mobile,1,Married,3,0,13.0,1.0,2.0,9.0,153.62
3093,0,15.0,Mobile,3,7.0,E wallet,Male,3.0,3,Fashion,5,Divorced,3,0,17.0,2.0,2.0,8.0,208.92
4465,0,10.0,Computer,1,31.0,DC,Female,3.0,4,Laptop,4,Married,9,0,16.0,2.0,2.0,9.0,181.74
1076,1,0.0,Mobile,1,14.0,CC,Male,3.0,4,Mobile,3,Single,2,1,11.0,1.0,1.0,2.0,139.89
2535,0,5.0,Mobile,1,8.0,CC,Male,2.0,3,Laptop,4,Married,1,0,13.0,1.0,1.0,6.0,154.7
4411,0,13.0,Computer,1,9.0,COD,Female,4.0,4,Fashion,3,Single,2,0,26.0,7.0,2.0,9.0,234.38
3696,1,1.0,Computer,1,35.0,DC,Male,4.0,5,Laptop,5,Single,5,0,21.0,1.0,2.0,4.0,167.84
4698,0,15.0,Mobile,2,7.0,UPI,Male,3.0,5,Others,3,Married,3,0,16.0,2.0,3.0,11.0,316.89
7,1,10.0,Mobile,1,6.0,CC,Male,3.0,3,Mobile,2,Divorced,3,1,16.0,2.0,2.0,0.0,122.93
4542,1,1.0,Computer,1,10.0,COD,Male,4.0,4,Mobile,5,Single,2,0,23.0,1.0,2.0,5.0,156.02
351,0,10.0,Mobile,1,23.0,UPI,Male,3.0,4,Mobile,4,Divorced,2,0,21.0,1.0,1.0,0.0,121.27000000000001
1526,0,10.0,Mobile,1,33.0,CC,Female,3.0,3,Mobile,4,Single,3,0,15.0,0.0,1.0,2.0,123.11000000000001
134,1,0.0,Computer,1,35.0,CC,Male,3.0,4,Mobile,4,Single,1,0,11.0,1.0,1.0,4.0,134.79
5570,0,14.0,Mobile,3,9.0,E wallet,Female,4.0,4,Laptop,4,Married,5,0,15.0,2.0,6.0,11.0,181.77
1925,0,8.0,Mobile,3,16.0,DC,Female,3.0,3,Mobile,1,Married,2,0,16.0,1.0,1.0,2.0,125.72
397,0,10.0,Mobile,1,16.0,DC,Male,3.0,2,Mobile,2,Single,4,0,17.0,1.0,1.0,0.0,146.8
1496,0,8.0,Mobile,3,6.0,E wallet,Male,3.0,3,Fashion,4,Married,2,0,13.0,0.0,1.0,6.0,172.95
45,0,0.0,Mobile,1,23.0,COD,Male,3.0,3,Mobile,4,Divorced,1,1,16.0,1.0,1.0,1.0,130.58
4118,0,6.0,Mobile,3,7.0,CC,Male,4.0,5,Mobile,4,Married,2,0,15.0,1.0,3.0,3.0,147.69
4462,0,2.0,Mobile,1,23.0,CC,Male,4.0,2,Laptop,5,Single,2,0,20.0,1.0,2.0,8.0,181.61
3460,0,20.0,Mobile,1,7.0,CC,Male,3.0,4,Others,2,Married,11,0,16.0,2.0,3.0,3.0,321.27
1557,0,0.0,Computer,3,26.0,DC,Female,2.0,3,Laptop,3,Single,2,0,14.0,1.0,1.0,7.0,199.81
5395,0,20.0,Mobile,3,9.0,DC,Male,4.0,4,Fashion,1,Married,6,1,13.0,1.0,2.0,3.0,228.68
41,0,14.0,Mobile,1,16.0,DC,Male,2.0,3,Mobile,3,Married,5,0,12.0,1.0,1.0,8.0,124.50999999999999
93,0,18.0,Computer,3,12.0,CC,Female,2.0,4,Fashion,2,Single,7,0,12.0,12.0,12.0,8.0,188.65
993,0,10.0,Mobile,1,9.0,DC,Female,2.0,3,Mobile,1,Married,2,0,21.0,1.0,1.0,0.0,120.61000000000001
3475,0,14.0,Mobile,1,27.0,COD,Male,4.0,4,Fashion,2,Divorced,6,0,21.0,5.0,12.0,3.0,228.22
2178,0,0.0,Mobile,1,16.0,DC,Male,2.0,4,Mobile,3,Married,2,0,13.0,1.0,2.0,2.0,125.38999999999999
3057,0,24.0,Mobile,1,17.0,COD,Male,4.0,5,Fashion,2,Single,8,0,16.0,1.0,2.0,3.0,229.96
1165,1,0.0,Computer,1,15.0,DC,Male,3.0,3,Laptop,5,Married,5,0,17.0,0.0,1.0,7.0,153.46
1581,1,0.0,Mobile,1,8.0,DC,Female,3.0,3,Mobile,5,Married,8,0,20.0,1.0,1.0,7.0,127.07
630,0,18.0,Mobile,3,17.0,DC,Female,2.0,3,Grocery,2,Divorced,4,0,13.0,1.0,1.0,1.0,276.5
252,0,9.0,Mobile,1,16.0,DC,Female,3.0,3,Mobile,3,Divorced,5,0,13.0,1.0,2.0,2.0,125.43
5078,0,25.0,Computer,3,16.0,DC,Male,3.0,4,Others,4,Married,6,1,25.0,7.0,12.0,11.0,323.47
1193,0,2.0,Computer,1,26.0,CC,Male,2.0,3,Mobile,1,Married,2,0,13.0,1.0,3.0,10.0,138.12
1796,0,15.0,Mobile,1,30.0,CC,Male,2.0,3,Fashion,5,Married,2,1,21.0,5.0,5.0,8.0,174.06
361,0,10.0,Mobile,3,8.0,E wallet,Male,3.0,3,Laptop,3,Divorced,5,1,11.0,0.0,1.0,0.0,196.02
1933,0,23.0,Mobile,1,8.0,CC,Male,3.0,3,Grocery,3,Married,6,0,16.0,1.0,1.0,3.0,276.39
2732,0,2.0,Mobile,1,7.0,DC,Male,2.0,3,Laptop,5,Married,1,0,12.0,0.0,1.0,2.0,153.73
875,0,25.0,Mobile,1,14.0,UPI,Female,3.0,3,Mobile,5,Divorced,10,0,13.0,1.0,1.0,4.0,129.5
1210,0,12.0,Mobile,1,25.0,UPI,Male,2.0,3,Laptop,1,Married,9,0,14.0,1.0,2.0,2.0,139.02
5376,0,17.0,Mobile,3,9.0,CC,Male,4.0,4,Laptop,1,Married,3,1,18.0,4.0,9.0,9.0,203.47
2119,0,28.0,Computer,1,8.0,CC,Male,2.0,4,Grocery,5,Single,8,0,15.0,1.0,6.0,2.0,267.56
2869,0,12.0,Mobile,1,16.0,DC,Female,4.0,4,Mobile,2,Single,3,0,13.0,2.0,3.0,2.0,147.88
5082,0,18.0,Mobile,1,11.0,DC,Male,4.0,2,Others,5,Married,3,0,16.0,3.0,15.0,14.0,316.9
297,1,0.0,Mobile,2,16.0,COD,Male,2.0,4,Mobile,2,Single,2,0,12.0,1.0,1.0,0.0,125.63999999999999
2839,1,15.0,Computer,1,15.0,DC,Male,3.0,6,Fashion,2,Single,4,0,16.0,1.0,2.0,4.0,231.5
1644,0,24.0,Mobile,1,8.0,CC,Male,2.0,5,Laptop,4,Married,6,0,18.0,0.0,1.0,2.0,154.82
4190,0,7.0,Mobile,1,9.0,CC,Male,4.0,4,Mobile,1,Single,6,0,12.0,1.0,2.0,1.0,149.96
4435,0,11.0,Computer,1,7.0,CC,Female,4.0,4,Fashion,1,Married,4,1,19.0,1.0,2.0,3.0,261.03
5067,0,18.0,Mobile,3,12.0,E wallet,Male,3.0,4,Others,4,Married,9,0,16.0,2.0,4.0,11.0,307.13
2814,0,7.0,Mobile,1,14.0,CC,Male,2.0,1,Laptop,3,Married,3,0,12.0,1.0,1.0,2.0,144.04
4977,0,10.0,Computer,1,25.0,DC,Male,4.0,4,Laptop,1,Single,4,0,21.0,1.0,2.0,10.0,202.79
2419,0,6.0,Mobile,1,14.0,DC,Male,3.0,3,Laptop,3,Single,3,1,17.0,1.0,1.0,0.0,163.88
2902,0,1.0,Computer,3,27.0,DC,Female,3.0,4,Laptop,3,Single,3,0,15.0,2.0,2.0,3.0,224.81
103,0,8.0,Computer,3,6.0,E wallet,Female,3.0,3,Fashion,3,Single,2,0,14.0,1.0,1.0,8.0,187.89
3432,0,24.0,Mobile,1,16.0,DC,Male,4.0,4,Mobile,2,Divorced,6,0,19.0,2.0,2.0,1.0,148.8
605,0,3.0,Mobile,1,14.0,DC,Female,3.0,1,Fashion,5,Divorced,1,1,12.0,0.0,1.0,3.0,214.16000000000003
2701,0,14.0,Mobile,3,14.0,E wallet,Female,2.0,3,Laptop,4,Married,6,0,21.0,0.0,1.0,4.0,143.93
3258,1,19.0,Mobile,1,9.0,CC,Male,4.0,4,Others,5,Divorced,7,1,14.0,2.0,2.0,5.0,323.59
2735,1,0.0,Mobile,1,16.0,COD,Male,2.0,4,Mobile,1,Married,6,0,12.0,1.0,1.0,3.0,123.66999999999999
4480,0,1.0,Mobile,3,9.0,DC,Male,4.0,4,Laptop,3,Single,3,1,12.0,1.0,2.0,5.0,169.78
1969,0,26.0,Mobile,3,13.0,E wallet,Female,3.0,4,Fashion,1,Married,8,1,18.0,0.0,1.0,3.0,209.33999999999997
2660,0,9.0,Mobile,1,8.0,UPI,Female,3.0,3,Laptop,4,Married,5,1,22.0,1.0,1.0,0.0,169.62
2616,1,0.0,Mobile,3,13.0,E wallet,Male,3.0,3,Mobile,4,Single,2,0,13.0,0.0,1.0,0.0,126.78999999999999
1997,0,10.0,Computer,3,25.0,CC,Male,2.0,3,Fashion,4,Single,2,1,13.0,0.0,1.0,9.0,176.42
2143,1,0.0,Mobile,1,31.0,CC,Male,2.0,4,Mobile,4,Single,5,1,20.0,1.0,2.0,2.0,123.13
4888,0,28.0,Mobile,1,24.0,COD,Female,3.0,4,Fashion,3,Married,10,0,12.0,1.0,2.0,9.0,232.39
3186,0,1.0,Mobile,3,29.0,COD,Male,3.0,4,Mobile,3,Single,3,0,12.0,2.0,2.0,3.0,159.47
5140,1,1.0,Computer,3,9.0,DC,Female,3.0,5,Mobile,1,Single,9,0,15.0,1.0,2.0,1.0,152.85
1838,0,17.0,Mobile,2,6.0,DC,Female,2.0,4,Laptop,3,Single,5,0,11.0,1.0,1.0,2.0,159.85
5307,0,23.0,Mobile,1,32.0,DC,Female,3.0,4,Mobile,5,Married,3,0,15.0,2.0,2.0,5.0,157.11
2027,0,5.0,Computer,1,16.0,DC,Female,3.0,4,Mobile,4,Married,7,0,20.0,0.0,1.0,2.0,123.32
3616,0,17.0,Mobile,3,11.0,E wallet,Female,3.0,5,Fashion,2,Single,5,0,15.0,11.0,16.0,3.0,227.31
2708,0,6.0,Mobile,3,16.0,E wallet,Male,2.0,3,Laptop,3,Single,2,0,14.0,0.0,1.0,9.0,154.87
3564,0,4.0,Mobile,1,14.0,DC,Male,3.0,4,Laptop,3,Married,3,0,14.0,9.0,9.0,10.0,159.91
2879,0,25.0,Mobile,1,10.0,CC,Female,4.0,4,Grocery,4,Single,5,0,19.0,1.0,2.0,1.0,262.34
2370,0,0.0,Mobile,3,10.0,CC,Female,2.0,3,Laptop,3,Married,2,1,12.0,1.0,1.0,3.0,141.62
3094,0,2.0,Mobile,1,24.0,CC,Male,4.0,4,Laptop,5,Married,3,0,13.0,1.0,2.0,9.0,170.58
3381,0,14.0,Computer,1,16.0,CC,Male,3.0,4,Mobile,4,Married,10,1,15.0,1.0,2.0,1.0,161.17
2353,0,27.0,Mobile,1,7.0,CC,Female,2.0,3,Grocery,1,Single,7,0,19.0,1.0,12.0,7.0,273.28
4607,0,9.0,Mobile,3,7.0,E wallet,Male,3.0,4,Laptop,3,Married,11,0,12.0,1.0,7.0,10.0,172.17
3728,0,22.0,Mobile,3,14.0,E wallet,Male,4.0,4,Laptop,5,Married,6,0,12.0,2.0,3.0,3.0,179.86
5195,0,5.0,Mobile,2,15.0,CC,Female,4.0,2,Mobile,4,Single,11,0,19.0,2.0,2.0,3.0,146.09
4440,0,27.0,Mobile,1,10.0,CC,Male,3.0,4,Grocery,3,Married,5,1,16.0,2.0,2.0,4.0,300.84
2134,1,7.0,Mobile,2,6.0,CC,Male,3.0,4,Fashion,5,Married,10,0,14.0,2.0,3.0,6.0,204.82
4623,1,1.0,Mobile,1,31.0,COD,Male,4.0,6,Mobile,1,Single,3,1,19.0,1.0,2.0,1.0,148.4
5092,1,1.0,Mobile,1,14.0,COD,Female,3.0,4,Mobile,3,Married,5,1,14.0,5.0,8.0,8.0,158.39
683,0,2.0,Mobile,1,16.0,DC,Female,3.0,3,Mobile,2,Married,5,0,22.0,0.0,1.0,7.0,125.13999999999999
3420,0,4.0,Mobile,1,15.0,DC,Female,4.0,2,Fashion,5,Divorced,2,1,13.0,1.0,2.0,8.0,239.16000000000003
4018,0,1.0,Mobile,3,30.0,CC,Female,3.0,5,Laptop,3,Married,3,0,22.0,5.0,6.0,9.0,160.4
4195,0,17.0,Mobile,1,9.0,CC,Female,4.0,2,Mobile,3,Married,3,0,13.0,2.0,2.0,5.0,151.45
2157,0,16.0,Computer,1,33.0,DC,Female,2.0,3,Fashion,5,Married,9,0,11.0,1.0,1.0,1.0,208.2
4085,1,1.0,Computer,3,33.0,E wallet,Male,4.0,4,Laptop,1,Married,3,1,12.0,1.0,2.0,9.0,181.17
4941,0,1.0,Mobile,1,7.0,CC,Male,3.0,5,Mobile,5,Married,3,0,17.0,2.0,2.0,4.0,164.55
